Any,Codi_Districte,Nom_Districte,Import__Any
2015,1,Ciutat Vella,12975
2015,2,Eixample,22700
2015,3,Sants-Montjuïc,17528
2015,4,Les Corts,26214
2015,5,Sarrià-Sant Gervasi,29607
2015,6,Gràcia,21814
2015,7,Horta - Guinardó,18346
2015,8,Nou Barris,15066
2015,9,Sant Andreu,18283
2015,10,Sant Martí,18846
2016,1,Ciutat Vella,13165
2016,2,Eixample,23534
2016,3,Sants-Montjuïc,17793
2016,4,Les Corts,27690
2016,5,Sarrià-Sant Gervasi,31777
2016,6,Gràcia,22466
2016,7,Horta - Guinardó,18790
2016,8,Nou Barris,15276
2016,9,Sant Andreu,18712
2016,10,Sant Martí,19271
2017,1,Ciutat Vella,13612
2017,2,Eixample,23868
2017,3,Sants-Montjuïc,17827
2017,4,Les Corts,27882
2017,5,Sarrià-Sant Gervasi,33242
2017,6,Gràcia,22737
2017,7,Horta - Guinardó,18758
2017,8,Nou Barris,15197
2017,9,Sant Andreu,18654
2017,10,Sant Martí,19210
2018,1,Ciutat Vella,14233
2018,2,Eixample,24150
2018,3,Sants-Montjuïc,18297
2018,4,Les Corts,28178
2018,5,Sarrià-Sant Gervasi,33855
2018,6,Gràcia,23109
2018,7,Horta - Guinardó,18968
2018,8,Nou Barris,15388
2018,9,Sant Andreu,18855
2018,10,Sant Martí,19407
2019,1,Ciutat Vella,14865
2019,2,Eixample,25406
2019,3,Sants-Montjuïc,18949
2019,4,Les Corts,29642
2019,5,Sarrià-Sant Gervasi,35998
2019,6,Gràcia,24449
2019,7,Horta - Guinardó,19741
2019,8,Nou Barris,15771
2019,9,Sant Andreu,19528
2019,10,Sant Martí,20216
