Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Superfície (ha)
2015,1,Ciutat Vella,1,el Raval,109.8
2015,1,Ciutat Vella,2,el Barri Gòtic,84.2
2015,1,Ciutat Vella,3,la Barceloneta,131.4
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",111.4
2015,2,Eixample,5,el Fort Pienc,92.9
2015,2,Eixample,6,la Sagrada Família,105.1
2015,2,Eixample,7,la Dreta de l'Eixample,212.3
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,123.4
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,133.8
2015,2,Eixample,10,Sant Antoni,80.1
2015,3,Sants-Montjuïc,11,el Poble Sec,460.5
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1428.4
2015,3,Sants-Montjuïc,13,la Marina de Port,125.5
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,30.2
2015,3,Sants-Montjuïc,15,Hostafrancs,41.0
2015,3,Sants-Montjuïc,16,la Bordeta,57.7
2015,3,Sants-Montjuïc,17,Sants - Badal,41.1
2015,3,Sants-Montjuïc,18,Sants,109.8
2015,4,Les Corts,19,les Corts,141.3
2015,4,Les Corts,20,la Maternitat i Sant Ramon,190.3
2015,4,Les Corts,21,Pedralbes,270.2
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1152.4
2015,5,Sarrià-Sant Gervasi,23,Sarrià,304.2
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,78.8
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,223.5
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,165.9
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,84.6
2015,6,Gràcia,28,Vallcarca i els Penitents,120.9
2015,6,Gràcia,29,el Coll,35.8
2015,6,Gràcia,30,la Salut,64.3
2015,6,Gràcia,31,la Vila de Gràcia,132.6
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,65.0
2015,7,Horta-Guinardó,33,el Baix Guinardó,56.0
2015,7,Horta-Guinardó,34,Can Baró,38.4
2015,7,Horta-Guinardó,35,el Guinardó,130.8
2015,7,Horta-Guinardó,36,la Font d'en Fargues,65.7
2015,7,Horta-Guinardó,37,el Carmel,94.2
2015,7,Horta-Guinardó,38,la Teixonera,33.7
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,171.6
2015,7,Horta-Guinardó,40,Montbau,204.7
2015,7,Horta-Guinardó,41,la Vall d'Hebron,73.6
2015,7,Horta-Guinardó,42,la Clota,17.8
2015,7,Horta-Guinardó,43,Horta,308.2
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,56.7
2015,8,Nou Barris,45,Porta,84.1
2015,8,Nou Barris,46,el Turó de la Peira,35.4
2015,8,Nou Barris,47,Can Peguera,12.0
2015,8,Nou Barris,48,la Guineueta,61.1
2015,8,Nou Barris,49,Canyelles,79.3
2015,8,Nou Barris,50,les Roquetes,64.2
2015,8,Nou Barris,51,Verdun,23.7
2015,8,Nou Barris,52,la Prosperitat,59.5
2015,8,Nou Barris,53,la Trinitat Nova,56.0
2015,8,Nou Barris,54,Torre Baró,176.8
2015,8,Nou Barris,55,Ciutat Meridiana,35.5
2015,8,Nou Barris,56,Vallbona,59.8
2015,9,Sant Andreu,57,la Trinitat Vella,81.0
2015,9,Sant Andreu,58,Baró de Viver,23.0
2015,9,Sant Andreu,59,el Bon Pastor,188.2
2015,9,Sant Andreu,60,Sant Andreu,184.1
2015,9,Sant Andreu,61,la Sagrera,97.2
2015,9,Sant Andreu,62,el Congrés i els Indians,40.7
2015,9,Sant Andreu,63,Navas,42.3
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,74.2
2015,10,Sant Martí,65,el Clot,69.6
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,111.4
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,94.3
2015,10,Sant Martí,68,el Poblenou,154.5
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,123.7
2015,10,Sant Martí,70,el Besòs i el Maresme,127.4
2015,10,Sant Martí,71,Provençals del Poblenou,110.5
2015,10,Sant Martí,72,Sant Martí de Provençals,74.5
2015,10,Sant Martí,73,la Verneda i la Pau,112.3
